KO	feature	name	probability_default	probability
K02547	K01439	dapE; succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]	9.817584753805852e-05	0.0001981681143336
K02547	K00640	cysE; serine O-acetyltransferase [EC:2.3.1.30]	9.817584753805852e-05	0.0001981719807863
K02547	K22132	tcdA; tRNA threonylcarbamoyladenosine dehydratase	9.817584753805852e-05	0.0002967337431043
K02547	K03789	rimI; [ribosomal protein S18]-alanine N-acetyltransferase [EC:2.3.1.266]	9.817584753805852e-05	0.0002967515604942
K02547	K05808	yhbH; putative sigma-54 modulation protein	9.817584753805852e-05	0.0002968057957173
K02547	mobileOG_000093088	ftsZ	9.817584753805852e-05	0.0002969481870913
K02547	K00821	argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]	9.817584753805852e-05	0.0002969698460487
K02547	K03640	pal; peptidoglycan-associated lipoprotein	9.817584753805852e-05	0.0002971871035295
K02547	K00147	proA; glutamate-5-semialdehyde dehydrogenase [EC:1.2.1.41]	9.817584753805852e-05	0.0002973945052097
K02547	mobileOG_000332333	ruvC	9.817584753805852e-05	0.0002974406949189
K02547	K00334	nuoE; NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]	9.817584753805852e-05	0.0002975391971947
K02547	K09780	K09780; uncharacterized protein	9.817584753805852e-05	0.0002976066153432
K02547	K07029	dagK; diacylglycerol kinase (ATP) [EC:2.7.1.107]	9.817584753805852e-05	0.0002978019242511
K02547	K03072	secD; preprotein translocase subunit SecD	9.817584753805852e-05	0.0002978202475541
K02547	K03980	murJ, mviN; putative peptidoglycan lipid II flippase	9.817584753805852e-05	0.0002978346466555
K02547	K02039	phoU; phosphate transport system protein	9.817584753805852e-05	0.0002978905133307
K02547	K03621	plsX; phosphate acyltransferase [EC:2.3.1.274]	9.817584753805852e-05	0.0002979056616523
K02547	mobileOG_000331552	tmk	9.817584753805852e-05	0.0002979826895043
K02547	mobileOG_000325246	dnaA	9.817584753805852e-05	0.000396330782769
K02547	K03455	TC.KEF; monovalent cation:H+ antiporter-2, CPA2 family	9.817584753805852e-05	0.0003978583676993
K02547	K09774	lptA; lipopolysaccharide export system protein LptA	9.817584753805852e-05	0.000398034166379
K02547	K00995	pgsA, PGS1; CDP-diacylglycerol---glycerol-3-phosphate 3-phosphatidyltransferase [EC:2.7.8.5]	9.817584753805852e-05	0.0004964166140702
K02547	K05810	yfiH; polyphenol oxidase [EC:1.10.3.-]	9.817584753805852e-05	0.0005957536589627
K02547	K03183	ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase [EC:2.1.1.163 2.1.1.201]	9.817584753805852e-05	0.000598007749129
K02547	K02114	ATPF1E, atpC; F-type H+-transporting ATPase subunit epsilon	9.817584753805852e-05	0.0008953926882275
