KO	feature	name	probability_default	probability
K19209	K07095	K07095; uncharacterized protein	9.98032900700056e-05	0.0001997801074878
K19209	K01058	pldA; phospholipase A1/A2 [EC:3.1.1.32 3.1.1.4]	9.98032900700056e-05	0.0001997820389591
K19209	K11939	rhtA; inner membrane transporter RhtA	9.98032900700056e-05	0.0001997820389591
K19209	K09816	znuB; zinc transport system permease protein	9.98032900700056e-05	0.000199783970505
K19209	K06177	rluA; tRNA pseudouridine32 synthase / 23S rRNA pseudouridine746 synthase [EC:5.4.99.28 5.4.99.29]	9.98032900700056e-05	0.0001997878338208
K19209	K03324	yjbB; phosphate:Na+ symporter	9.98032900700056e-05	0.0001997916974351
K19209	K13936	mdcF; malonate transporter and related proteins	9.98032900700056e-05	0.0001997936293543
K19209	K21430	yliI; aldose sugar dehydrogenase [EC:1.1.5.-]	9.98032900700056e-05	0.0002995082272254
K19209	K19745	acuI; acrylyl-CoA reductase (NADPH) [EC:1.3.1.-]	9.98032900700056e-05	0.0002995744186256
K19209	K02302	cysG; uroporphyrin-III C-methyltransferase / precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase [EC:2.1.1.107 1.3.1.76 4.99.1.4]	9.98032900700056e-05	0.0002996064079938
K19209	K09781	K09781; uncharacterized protein	9.98032900700056e-05	0.0002996652379553
K19209	K00564	rsmC; 16S rRNA (guanine1207-N2)-methyltransferase [EC:2.1.1.172]	9.98032900700056e-05	0.0002996729430435
K19209	K19267	qorB; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]	9.98032900700056e-05	0.0002997022370444
K19209	K11690	dctM; C4-dicarboxylate transporter, DctM subunit	9.98032900700056e-05	0.0002997105902571
K19209	K02025	ABC.MS.P; multiple sugar transport system permease protein	9.98032900700056e-05	0.0002997421186918
K19209	K06145	gntR; LacI family transcriptional regulator, gluconate utilization system Gnt-I transcriptional repressor	9.98032900700056e-05	0.0002997627216332
K19209	K00975	glgC; glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]	9.98032900700056e-05	0.0002997723787659
K19209	K17758	nnrD; ADP-dependent NAD(P)H-hydrate dehydratase [EC:4.2.1.136]	9.98032900700056e-05	0.0004991388394624
K19209	K00703	glgA; starch synthase [EC:2.4.1.21]	9.98032900700056e-05	0.0004996044459578
K19209	mobileOG_000189051	recO	9.98032900700056e-05	0.0004996989806144
K19209	K09125	yhhQ; queuosine precursor transporter	9.98032900700056e-05	0.00059929434836
K19209	K06076	fadL; long-chain fatty acid transport protein	9.98032900700056e-05	0.0007994890769634
K19209	K22719	envC; murein hydrolase activator	9.98032900700056e-05	0.0008995621917608
K19209	K09812	ftsE; cell division transport system ATP-binding protein	9.98032900700056e-05	0.0008996542274342
K19209	K02837	prfC; peptide chain release factor 3	9.98032900700056e-05	0.0017995602064513
