KO	feature	name	probability_default	probability
K00984	K18138	acrB, mexB, adeJ, smeE, mtrD, cmeB; multidrug efflux pump	0.6404421734138047	0.5830933883476277
K00984	K15777	DOPA; 4,5-DOPA dioxygenase extradiol [EC:1.13.11.-]	0.6404421734138047	0.6109535066688314
K00984	K00957	cysD; sulfate adenylyltransferase subunit 2 [EC:2.7.7.4]	0.6404421734138047	0.6122887331838499
K00984	K09790	K09790; uncharacterized protein	0.6404421734138047	0.6124388663235316
K00984	K03749	dedD; DedD protein	0.6404421734138047	0.617766719450004
K00984	K02047	cysW; sulfate/thiosulfate transport system permease protein	0.6404421734138047	0.6178144970437126
K00984	K00262	E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]	0.6404421734138047	0.6183433791493606
K00984	K07636	phoR; two-component system, OmpR family, phosphate regulon sensor histidine kinase PhoR [EC:2.7.13.3]	0.6404421734138047	0.6200383628851297
K00984	K06999	K06999; phospholipase/carboxylesterase	0.6404421734138047	0.6207131033587945
K00984	K01070	frmB, ESD, fghA; S-formylglutathione hydrolase [EC:3.1.2.12]	0.6404421734138047	0.6209760829577281
K00984	K05808	yhbH; putative sigma-54 modulation protein	0.6404421734138047	0.6217172523080686
K00984	K00626	ACAT, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	0.6404421734138047	0.6221874453776253
K00984	K09889	yjgA; ribosome-associated protein	0.6404421734138047	0.6222194479032039
K00984	K03600	sspB; stringent starvation protein B	0.6404421734138047	0.6222875121871674
K00984	K02494	lolB; outer membrane lipoprotein LolB	0.6404421734138047	0.6231725641080865
K00984	K01637	E4.1.3.1, aceA; isocitrate lyase [EC:4.1.3.1]	0.6404421734138047	0.6233457851910562
K00984	K03690	ubiJ; ubiquinone biosynthesis protein UbiJ	0.6404421734138047	0.6233590407804879
K00984	mobileOG_000340884	comL	0.6404421734138047	0.6236899057070755
K00984	mobileOG_000367792	cca	0.6404421734138047	0.6237488874125916
K00984	K03814	mtgA; monofunctional glycosyltransferase [EC:2.4.1.129]	0.6404421734138047	0.6238729724757056
K00984	K09801	K09801; uncharacterized protein	0.6404421734138047	0.6240891247247202
K00984	K06140	rnk; regulator of nucleoside diphosphate kinase	0.6404421734138047	0.6253969935598871
K00984	K03673	dsbA; protein dithiol oxidoreductase (disulfide-forming) [EC:1.8.4.15]	0.6404421734138047	0.6262934676843941
K00984	K06186	bamE, smpA; outer membrane protein assembly factor BamE	0.6404421734138047	0.626530762686174
K00984	mobileOG_000349924	recJ	0.6404421734138047	0.6269145322862901
