ARG	feature	score_RF	score_Odds	name
K18230	K00012	0.0059732946585155	1.1925886831122283	K00012 UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K18230	K00027	9.579915906188524e-05	0.4770218007552997	K00027 ME2, sfcA, maeA; malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]
K18230	K00029	0.0021145829748806	-1.111709836651895	K00029 E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K18230	K00058	0.0004011414073031	0.614306182737798	K00058 serA, PHGDH; D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase [EC:1.1.1.95 1.1.1.399]
K18230	K00060	0.0008893339065265	0.4392561332834269	K00060 tdh; threonine 3-dehydrogenase [EC:1.1.1.103]
K18230	K00064	0.0001560246097142	0.6111451960247245	K00064 E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
K18230	K00074	9.896119085420408e-05	-0.1107223229173541	K00074 paaH, hbd, fadB, mmgB; 3-hydroxybutyryl-CoA dehydrogenase [EC:1.1.1.157]
K18230	K00097	0.0012874887858534	-1.6935796584803906	K00097 pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K18230	K00104	0.0015256998249157	0.8006051480255375	K00104 glcD; glycolate oxidase [EC:1.1.3.15]
K18230	K00121	0.0002228023298158	-1.523147175021885	K00121 frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
K18230	K00124	4.581362098168648e-05	-0.2227810895289498	K00124 fdoH, fdsB; formate dehydrogenase iron-sulfur subunit
K18230	K00140	0.0024558188982101	0.8560341156609932	K00140 mmsA, iolA, ALDH6A1; malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase [EC:1.2.1.18 1.2.1.27]
K18230	K00154	0.0001060364159667	-0.6651443820073917	K00154 E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]
K18230	K00161	0.0003128922475095	0.6007294721848162	K00161 PDHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
