KO	feature	MI	name
K18699	K11070	0.0088466303413109	potC; spermidine/putrescine transport system permease protein
K18699	K02011	0.0087242234349845	afuB, fbpB; iron(III) transport system permease protein
K18699	K02401	0.008675707454641	flhB; flagellar biosynthetic protein FlhB
K18699	K03767	0.0085792678880189	PPIA; peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8]
K18699	mobileOG_000802159	0.0081701711221383	rep
K18699	K01809	0.0081677892503166	manA, MPI; mannose-6-phosphate isomerase [EC:5.3.1.8]
K18699	K03594	0.0081667436425347	bfr; bacterioferritin [EC:1.16.3.1]
K18699	K01512	0.008115410137729	acyP; acylphosphatase [EC:3.6.1.7]
K18699	K02421	0.0080924926948676	fliR; flagellar biosynthetic protein FliR
K18699	K06152	0.0078963662000922	E1.1.99.3G; gluconate 2-dehydrogenase gamma chain [EC:1.1.99.3]
K18699	K06872	0.0078881534487461	K06872; uncharacterized protein
K18699	K01480	0.0078699950171282	speB; agmatinase [EC:3.5.3.11]
K18699	K00375	0.0078124237131925	K00375; GntR family transcriptional regulator / MocR family aminotransferase
K18699	K10439	0.0077573499671638	rbsB; ribose transport system substrate-binding protein
K18699	K07646	0.0076729579578057	kdpD; two-component system, OmpR family, sensor histidine kinase KdpD [EC:2.7.13.3]
K18699	K01760	0.0076520925850956	metC; cysteine-S-conjugate beta-lyase [EC:4.4.1.13]
K18699	mobileOG_000031464	0.0076192503849902	mutT
K18699	K02099	0.0075967914030298	araC; AraC family transcriptional regulator, arabinose operon regulatory protein
K18699	K07010	0.007576118646857	K07010; putative glutamine amidotransferase
K18699	K00324	0.0075742427623909	pntA; H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]
K18699	K18981	0.0075065968404735	udh; uronate dehydrogenase [EC:1.1.1.203]
K18699	K07160	0.007468206977769	pxpA; 5-oxoprolinase (ATP-hydrolysing) subunit A [EC:3.5.2.9]
K18699	K07124	0.0074677892548	K07124; uncharacterized protein
K18699	K11689	0.0074292872154252	dctQ; C4-dicarboxylate transporter, DctQ subunit
K18699	K01167	0.0074228447466713	rnaSA; ribonuclease T1 [EC:4.6.1.24]
K18699	K06976	0.0074002961060321	K06976; uncharacterized protein
K18699	K02390	0.0073874111685239	flgE; flagellar hook protein FlgE
K18699	K10228	0.0073874111685239	smoF, mtlF; sorbitol/mannitol transport system permease protein
K18699	K02406	0.0073794261905035	fliC; flagellin
K18699	K11941	0.0072585617934435	mdoC; glucans biosynthesis protein C [EC:2.1.-.-]
K18699	K11354	0.0072515187737912	cph1; two-component system, chemotaxis family, sensor kinase Cph1 [EC:2.7.13.3]
K18699	K06158	0.0072360131528044	ABCF3; ATP-binding cassette, subfamily F, member 3
K18699	K12506	0.0072166857465425	ispDF; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]
K18699	K01821	0.0071889014704674	praC, xylH; 4-oxalocrotonate tautomerase [EC:5.3.2.6]
K18699	K18218	0.0071683672308873	tet35; tetracycline resistance efflux pump
K18699	K06142	0.0071490398246251	hlpA, ompH; outer membrane protein
K18699	K00325	0.0071425973558711	pntB; H+-translocating NAD(P) transhydrogenase subunit beta [EC:1.6.1.2 7.1.1.1]
K18699	K08191	0.0071393761214941	exuT; MFS transporter, ACS family, hexuronate transporter
K18699	K00266	0.007126491183986	gltD; glutamate synthase (NADPH) small chain [EC:1.4.1.13]
K18699	K09181	0.0071232699496088	yfiQ; acetyltransferase
K18699	K00864	0.0071168274808549	glpK, GK; glycerol kinase [EC:2.7.1.30]
K18699	K09800	0.007113606246478	tamB; translocation and assembly module TamB
K18699	K02444	0.0070975000745927	glpR; DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor
K18699	K00318	0.0070942788402158	PRODH, fadM, putB; proline dehydrogenase [EC:1.5.5.2]
K18699	K10229	0.0070878363714618	smoG, mtlG; sorbitol/mannitol transport system permease protein
K18699	K01631	0.0070863054886279	dgoA; 2-dehydro-3-deoxyphosphogalactonate aldolase [EC:4.1.2.21]
K18699	K02016	0.0070813939027079	ABC.FEV.S; iron complex transport system substrate-binding protein
K18699	K19267	0.0070710959442065	qorB; NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
K18699	K08303	0.0070620664964455	K08303; putative protease [EC:3.4.-.-]
K18699	K14998	0.0070588452620687	SURF1, SHY1; surfeit locus 1 family protein
