KO	feature	name	probability_default	probability
K18552	K01201	GBA, srfJ; glucosylceramidase [EC:3.2.1.45]	0.7862907183053092	0.738361506412066
K18552	K01621	xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]	0.7862907183053092	0.7439448777017266
K18552	K00078	DHDH; dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP) [EC:1.3.1.20 1.1.1.179]	0.7862907183053092	0.7590010868082118
K18552	K23886	CISD3; CDGSH iron-sulfur domain-containing protein 3	0.7862907183053092	0.7636247571472954
K18552	K21159	sgcF, ncsF2, kedF; epoxide hydrolase	0.7862907183053092	0.7674527388325436
K18552	K02171	blaI; BlaI family transcriptional regulator, penicillinase repressor	0.7862907183053092	0.7684758145303306
K18552	K09702	K09702; uncharacterized protein	0.7862907183053092	0.7720814680315914
K18552	K07124	K07124; uncharacterized protein	0.7862907183053092	0.7726722416917594
K18552	K07183	nasT; two-component system, response regulator / RNA-binding antiterminator	0.7862907183053092	0.7728172282227761
K18552	K15921	xynD; arabinoxylan arabinofuranohydrolase [EC:3.2.1.55]	0.7862907183053092	0.7728408231047165
K18552	K24131	prsW; protease PrsW [EC:3.4.-.-]	0.7862907183053092	0.7729931287654885
K18552	mobileOG_000249255	VirE	0.7862907183053092	0.7735452778569487
K18552	K16785	ecfT; energy-coupling factor transport system permease protein	0.7862907183053092	0.7736190229016284
K18552	K09007	folE2; GTP cyclohydrolase IB [EC:3.5.4.16]	0.7862907183053092	0.77445331882361
K18552	K01585	speA; arginine decarboxylase [EC:4.1.1.19]	0.7862907183053092	0.7747416137843122
K18552	K05979	comB; 2-phosphosulfolactate phosphatase [EC:3.1.3.71]	0.7862907183053092	0.7748539860035079
K18552	K13010	per, rfbE; perosamine synthetase [EC:2.6.1.102]	0.7862907183053092	0.7754909130646824
K18552	K06881	nrnA; bifunctional oligoribonuclease and PAP phosphatase NrnA [EC:3.1.3.7 3.1.13.3]	0.7862907183053092	0.7760278373779501
K18552	K06346	jag; spoIIIJ-associated protein	0.7862907183053092	0.776670740628047
K18552	K06976	K06976; uncharacterized protein	0.7862907183053092	0.7773844749499201
K18552	mobileOG_000237546	recF	0.7862907183053092	0.7774597113658087
K18552	K01057	PGLS, pgl, devB; 6-phosphogluconolactonase [EC:3.1.1.31]	0.7862907183053092	0.7776605856026946
K18552	K11942	icmF; isobutyryl-CoA mutase [EC:5.4.99.13]	0.7862907183053092	0.777862813384832
K18552	K02825	pyrR; pyrimidine operon attenuation protein / uracil phosphoribosyltransferase [EC:2.4.2.9]	0.7862907183053092	0.7779049191610741
K18552	K15725	czcC, cusC, cnrC; outer membrane protein, heavy metal efflux system	0.7862907183053092	0.7779437152533724
