KO	feature	name	probability_default	probability
K19349	K06402	spoIVFB; stage IV sporulation protein FB [EC:3.4.24.-]	0.0003977744855921	0.000792035000575
K19349	K07742	ylxR; uncharacterized protein	0.0003977744855921	0.0007935368849294
K19349	K06877	K06877; DEAD/DEAH box helicase domain-containing protein	0.0003977744855921	0.000794076245539
K19349	K00174	korA, oorA, oforA; 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	0.0003977744855921	0.0007945159745979
K19349	K00805	hepST; heptaprenyl diphosphate synthase [EC:2.5.1.30]	0.0003977744855921	0.0008902190846679
K19349	K06215	pdxS, pdx1; pyridoxal 5-phosphate synthase pdxS subunit [EC:4.3.3.6]	0.0003977744855921	0.0008928500186285
K19349	K04034	bchE; anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase [EC:1.21.98.3]	0.0003977744855921	0.0008929698863155
K19349	K05568	mnhD, mrpD; multicomponent Na+:H+ antiporter subunit D	0.0003977744855921	0.0008943059920631
K19349	K05979	comB; 2-phosphosulfolactate phosphatase [EC:3.1.3.71]	0.0003977744855921	0.0008943713602022
K19349	mobileOG_000089543	nusB	0.0003977744855921	0.0008949112293631
K19349	K15921	xynD; arabinoxylan arabinofuranohydrolase [EC:3.2.1.55]	0.0003977744855921	0.0008952881109335
K19349	K06962	K06962; uncharacterized protein	0.0003977744855921	0.0009903736606523
K19349	K00619	argA; amino-acid N-acetyltransferase [EC:2.3.1.1]	0.0003977744855921	0.0009910180229581
K19349	K09167	K09167; uncharacterized protein	0.0003977744855921	0.0009928416414399
K19349	mobileOG_000333823	dnaN	0.0003977744855921	0.0009958176112791
K19349	K02484	K02484; two-component system, OmpR family, sensor kinase [EC:2.7.13.3]	0.0003977744855921	0.0010913637015199
K19349	K09762	K09762; uncharacterized protein	0.0003977744855921	0.0011840365064529
K19349	K00038	E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	0.0003977744855921	0.0011936117670179
K19349	K06413	spoVK; stage V sporulation protein K	0.0003977744855921	0.0012893046252644
K19349	K01585	speA; arginine decarboxylase [EC:4.1.1.19]	0.0003977744855921	0.0012895697630123
K19349	K06994	K06994; putative drug exporter of the RND superfamily	0.0003977744855921	0.0012911556827904
K19349	K09684	pucR; PucR family transcriptional regulator, purine catabolism regulatory protein	0.0003977744855921	0.0013890427753025
K19349	mobileOG_000284240	pif	0.0003977744855921	0.0014890478434123
K19349	K07177	K07177; Lon-like protease	0.0003977744855921	0.0015814495413474
K19349	K13015	wbpA; UDP-N-acetyl-D-glucosamine dehydrogenase [EC:1.1.1.136]	0.0003977744855921	0.0018835311903909
