ARG	feature	score_RF	score_Odds	name
K18298	K00003	0.0001355628965283	-0.5223247235836317	K00003 hom; homoserine dehydrogenase [EC:1.1.1.3]
K18298	K00015	0.0010044649156744	-0.3807359435407502	K00015 gyaR, GOR1; glyoxylate reductase [EC:1.1.1.26]
K18298	K00016	9.830213780215136e-06	-1.178960385354561	K00016 LDH, ldh; L-lactate dehydrogenase [EC:1.1.1.27]
K18298	K00023	0.0003288895104393	0.8023249348398203	K00023 phbB; acetoacetyl-CoA reductase [EC:1.1.1.36]
K18298	K00029	8.244364357847897e-05	0.9066880541180644	K00029 E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]
K18298	K00031	9.696430390801335e-05	-0.0667246776364808	K00031 IDH1, IDH2, icd; isocitrate dehydrogenase [EC:1.1.1.42]
K18298	K00036	0.0002836811804247	0.4404838142544306	K00036 G6PD, zwf; glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
K18298	K00041	0.0002373143376783	-0.5016354927166815	K00041 uxaB; tagaturonate reductase [EC:1.1.1.58]
K18298	K00064	0.0008093609127193	-0.5934254925287599	K00064 E1.1.1.122; D-threo-aldose 1-dehydrogenase [EC:1.1.1.122]
K18298	K00097	0.000839629538279	1.0620088734845226	K00097 pdxA; 4-hydroxythreonine-4-phosphate dehydrogenase [EC:1.1.1.262]
K18298	K00104	3.738950968624225e-05	-0.0620939621495883	K00104 glcD; glycolate oxidase [EC:1.1.3.15]
K18298	K00108	0.0002745020390785	0.7089863057533556	K00108 betA, CHDH; choline dehydrogenase [EC:1.1.99.1]
K18298	K00116	0.0005033419871067	-0.4774312376063481	K00116 mqo; malate dehydrogenase (quinone) [EC:1.1.5.4]
K18298	K00121	0.0015205107321139	1.0575793910220272	K00121 frmA, ADH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]
K18298	K00128	0.0008864077216376	-0.7002316818578037	K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]
K18298	K00135	6.359295834230357e-05	0.2850816253454081	K00135 gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]
K18298	K00156	0.0010105622815896	-0.5398269208387377	K00156 poxB; pyruvate dehydrogenase (quinone) [EC:1.2.5.1]
K18298	K00162	0.0002488444555809	-0.6121626069456508	K00162 PDHB, pdhB; pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
K18298	K00208	0.0012746783619807	-0.471868830119738	K00208 fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]
K18298	K00219	0.0008728874730527	0.8110249147489218	K00219 fadH; 2,4-dienoyl-CoA reductase (NADPH2) [EC:1.3.1.34]
K18298	K00228	2.4643125259725116e-05	0.861074009041481	K00228 CPOX, hemF; coproporphyrinogen III oxidase [EC:1.3.3.3]
K18298	K00231	9.77277465774008e-05	-0.5886645264927632	K00231 PPOX, hemY; protoporphyrinogen/coproporphyrinogen III oxidase [EC:1.3.3.4 1.3.3.15]
K18298	K00239	0.0002307728159813	1.1743220201159588	K00239 sdhA, frdA; succinate dehydrogenase / fumarate reductase, flavoprotein subunit [EC:1.3.5.1 1.3.5.4]
K18298	K00242	1.2304833076238449e-05	0.8497121319900951	K00242 sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit
K18298	K00252	4.858049047239256e-05	0.1522656339527592	K00252 GCDH, gcdH; glutaryl-CoA dehydrogenase [EC:1.3.8.6]
K18298	K00253	0.0031414481728238	1.1946262863539063	K00253 IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]
K18298	K00259	0.000747894255641	0.3190524872806545	K00259 ald; alanine dehydrogenase [EC:1.4.1.1]
K18298	K00262	8.907073438167025e-05	-0.2505728248722566	K00262 E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]
K18298	K00263	0.0002059709926457	0.5446396353225382	K00263 E1.4.1.9; leucine dehydrogenase [EC:1.4.1.9]
K18298	K00275	0.0002018915489864	0.4894238735420332	K00275 pdxH, PNPO; pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]
K18298	K00281	0.0005857514339383	0.6583744981722981	K00281 GLDC, gcvP; glycine dehydrogenase [EC:1.4.4.2]
K18298	K00287	5.447202086885417e-05	0.3177453774676792	K00287 DHFR, folA; dihydrofolate reductase [EC:1.5.1.3]
K18298	K00299	0.0003042540319888	-0.4336450790381955	K00299 ssuE; FMN reductase [EC:1.5.1.38]
K18298	K00311	0.0057614953422657	1.283432005453505	K00311 ETFDH; electron-transferring-flavoprotein dehydrogenase [EC:1.5.5.1]
